runner_up_drag_name;season;challenges_won;maxi_challenges_won;risk_elimination;times_in_bottom;times_as_team_captain;lip_sync_lost;lip_sync_won;miss_congeniality  ,maxi_challenges_won ,times_as_team_captain 
 CO;1;1;0;0;0;0;yes,,;;
 CA;2;2;2;0;0;2;no,,;;
 NY;3;2;1;1;0;1;no,,;;
 CA;2;2;1;1;0;1;no,,;;
 IL;2;2;0;2;0;0;no,,;;
 PA;2;3;0;1;0;0;no,,;;
 FL;2;3;1;0;0;1;no,,;;
 CA;3;4;2;2;0;2;no,,;;
 CA;2;2;0;0;0;0;no,,;;
 FL;3;2;2;1;0;2;no,,;;
 NY;2;3;2;0;0;2;no,,;;
 IL;2;2;0;0;0;0;no,,;;
 CA;1;2;1;1;0;1;no,,;;
 NY;1;3;2;0;0;2;no,,;;
 TN;2;2;2;0;0;2;no,,;;
 TN;1;4;3;0;0;3;no,,;;
 TN;3;3;2;1;0;2;no,,;;
 MO;1;3;1;0;0;1;no,,;;
 CA;4;2;0;0;0;0;no,,;;
 NY;1;4;3;0;0;4;no,,;;
 CA;3;2;1;0;0;1;no,,;;
 NV;3;3;2;1;0;2;no,,;;
 PA;4;1;1;1;0;1;yes,,;;
 FL;2;3;2;0;0;2;no,,;;
,,;;;;;;;;;
,,;;;;;;;;;
 NY;3;2;1;1;0;1;no,,;;