season;winners;age;zodiac_sign;ethnicity;type_drag
1;Bebe Zahara Bonet;28;Piscis;Black;Pageant
2;Tyra Sanchez;22;Taurus;Black;Celeb Impersonator 
3;Raja ;36;Gemini;White;Fashion
4;Sharon Needles;30;Saggitarius;White;Camp
5;Jinkx Monsoon;25;Virgo;White;Theatre 
6;Bianca Del Rio;38;Cancer;Hispanic;Comedy 
7;Violet Chachki;22;Gemini;White;Fashion 
8;Bob The Drag Queen;29;Cancer;Black;Comedy
9;Sasha Velour;29;Cancer;White;Camp and Fashion
10;Aquaria;22;Aquarius;White;Fashion
11;Yvie Oddly;25;Leo;Mixed;Camp
12;Jaida Essence hall;33;Saggitarius;Black;Pageant queen
13;Symone;26;Capricorn;Black;Fashion
14;Willow Pill;27;Aquarius;White;Camp
15;Sasha Colby;37;Leo;Polynesian;Pageant
16;Nymphia Wind;27;Leo;Asian;Fashion
17;Onya Nurve;31;Gemini;Black;Theatre 